month,commodity,price,quantity
1970-01-31,Apples,1.14,3086
1970-01-31,Grapes,2.48,82
1970-01-31,Oranges,1.3,10266
1970-02-28,Apples,1.17,3765
1970-02-28,Grapes,2.75,35
1970-02-28,Oranges,1.25,9656
1970-03-31,Apples,1.17,4363
1970-03-31,Grapes,5.07,9
1970-03-31,Oranges,1.21,7940
1970-04-30,Apples,1.4,4842
1970-04-30,Grapes,5,8
1970-04-30,Oranges,1.22,5110
1970-05-31,Apples,1.64,4439
1970-05-31,Grapes,4.98,26
1970-05-31,Oranges,1.28,4089
1970-05-31,Strawberries,5.13,700
1970-06-30,Apples,1.75,5323
1970-06-30,Grapes,4.78,75
1970-06-30,Oranges,1.33,3362
1970-06-30,Peaches,3.15,91
1970-06-30,Strawberries,3.48,2709
1970-07-31,Apples,1.83,4165
1970-07-31,Grapes,3.48,82
1970-07-31,Oranges,1.45,3396
1970-07-31,Peaches,2.53,498
1970-07-31,Strawberries,3.27,1970
1970-08-31,Apples,1.92,3224
1970-08-31,Grapes,2.01,1490
1970-08-31,Oranges,1.54,2406
1970-08-31,Peaches,1.76,6504
1970-09-30,Apples,1.38,4025
1970-09-30,Grapes,1.42,2937
1970-09-30,Oranges,1.57,2486
1970-09-30,Peaches,1.73,4923
1970-10-31,Apples,1.1,5784
1970-10-31,Grapes,1.39,2826
1970-10-31,Oranges,1.61,3222
1970-10-31,Peaches,1.94,865
1970-11-30,Apples,1.09,6949
1970-11-30,Grapes,1.75,1290
1970-11-30,Oranges,1.59,6958
1970-12-31,Apples,1.1,3924
1970-12-31,Grapes,2.02,338
1970-12-31,Oranges,1.41,9762
1971-01-31,Apples,1.25,3415
1971-01-31,Grapes,2.15,119
1971-01-31,Oranges,1.45,10888
1971-02-28,Apples,1.36,4127
1971-02-28,Grapes,2.55,45
1971-02-28,Oranges,1.36,10314
1971-03-31,Apples,1.38,4771
1971-03-31,Grapes,4.22,14
1971-03-31,Oranges,1.37,8797
1971-04-30,Apples,1.57,5290
1971-04-30,Grapes,4.36,11
1971-04-30,Oranges,1.44,5590
1971-05-31,Apples,1.77,4986
1971-05-31,Grapes,4.18,74
1971-05-31,Oranges,1.51,4377
1971-05-31,Strawberries,5.68,806
1971-06-30,Apples,1.86,5869
1971-06-30,Grapes,4.08,112
1971-06-30,Oranges,1.56,3681
1971-06-30,Peaches,3.77,98
1971-06-30,Strawberries,3.72,3166
1971-07-31,Apples,1.94,4671
1971-07-31,Grapes,2.61,132
1971-07-31,Oranges,1.66,3748
1971-07-31,Peaches,2.85,548
1971-07-31,Strawberries,3.78,2153
1971-08-31,Apples,2.02,3534
1971-08-31,Grapes,1.79,2216
1971-08-31,Oranges,1.74,2649
1971-08-31,Peaches,1.98,6964
1971-09-30,Apples,1.55,4509
1971-09-30,Grapes,1.28,4229
1971-09-30,Oranges,1.76,2726
1971-09-30,Peaches,1.8,5370
1971-10-31,Apples,1.34,6299
1971-10-31,Grapes,1.26,4178
1971-10-31,Oranges,1.77,3477
1971-10-31,Peaches,1.95,932
1971-11-30,Apples,1.33,7753
1971-11-30,Grapes,1.62,1831
1971-11-30,Oranges,1.76,8548
1971-12-31,Apples,1.3,4285
1971-12-31,Grapes,1.81,496
1971-12-31,Oranges,1.5,10727
1972-01-31,Apples,1.43,3742
1972-01-31,Grapes,1.89,172
1972-01-31,Oranges,1.56,11569
1972-02-29,Apples,1.53,4518
1972-02-29,Grapes,2.38,67
1972-02-29,Oranges,1.53,10993
1972-03-31,Apples,1.59,5134
1972-03-31,Grapes,3.59,22
1972-03-31,Oranges,1.55,9621
1972-04-30,Apples,1.73,5738
1972-04-30,Grapes,3.9,16
1972-04-30,Oranges,1.62,6063
1972-05-31,Apples,1.89,5498
1972-05-31,Grapes,3.56,137
1972-05-31,Oranges,1.7,4625
1972-05-31,Strawberries,6.21,931
1972-06-30,Apples,1.98,6420
1972-06-30,Grapes,3.51,171
1972-06-30,Oranges,1.78,3970
1972-06-30,Peaches,4.69,104
1972-06-30,Strawberries,3.98,3642
1972-07-31,Apples,2.07,5157
1972-07-31,Grapes,2.73,202
1972-07-31,Oranges,1.89,4078
1972-07-31,Peaches,3.32,604
1972-07-31,Strawberries,4.3,2533
1972-08-31,Apples,2.12,3881
1972-08-31,Grapes,1.65,3269
1972-08-31,Oranges,1.91,2883
1972-08-31,Peaches,2.29,7378
1972-09-30,Apples,1.73,4917
1972-09-30,Grapes,1.15,6111
1972-09-30,Oranges,1.92,2957
1972-09-30,Peaches,1.9,5839
1972-10-31,Apples,1.56,6872
1972-10-31,Grapes,1.15,5964
1972-10-31,Oranges,1.95,3759
1972-10-31,Peaches,1.97,1006
1972-11-30,Apples,1.56,8490
1972-11-30,Grapes,1.46,2824
1972-11-30,Oranges,1.94,8238
1972-12-31,Apples,1.49,5211
1972-12-31,Grapes,1.73,731
1972-12-31,Oranges,1.64,11827
1973-01-31,Apples,1.68,4051
1973-01-31,Grapes,1.62,250
1973-01-31,Oranges,1.69,12206
1973-02-28,Apples,1.82,4909
1973-02-28,Grapes,2.16,102
1973-02-28,Oranges,1.69,11698
1973-03-31,Apples,1.89,5567
1973-03-31,Grapes,3.02,30
1973-03-31,Oranges,1.74,10438
1973-04-30,Apples,2,6253
1973-04-30,Grapes,3.45,25
1973-04-30,Oranges,1.91,6593
1973-05-31,Apples,2.14,6101
1973-05-31,Grapes,3.08,220
1973-05-31,Oranges,2.03,4926
1973-05-31,Strawberries,7.17,1033
1973-06-30,Apples,2.23,7023
1973-06-30,Grapes,3.07,252
1973-06-30,Oranges,2.13,4307
1973-06-30,Peaches,6.4,111
1973-06-30,Strawberries,4.53,4085
1973-07-31,Apples,2.35,5671
1973-07-31,Grapes,2.41,266
1973-07-31,Oranges,2.22,4418
1973-07-31,Peaches,4.31,653
1973-07-31,Strawberries,5.19,2877
1973-08-31,Apples,2.4,4187
1973-08-31,Grapes,1.49,4813
1973-08-31,Oranges,2.26,3165
1973-08-31,Peaches,2.98,7856
1973-09-30,Apples,2.09,5446
1973-09-30,Grapes,1.08,8803
1973-09-30,Oranges,2.22,3211
1973-09-30,Peaches,2.21,6291
1973-10-31,Apples,2.03,7377
1973-10-31,Grapes,1.08,8778
1973-10-31,Oranges,2.31,4007
1973-10-31,Peaches,2.18,1073
1973-11-30,Apples,2.05,9283
1973-11-30,Grapes,1.36,4517
1973-11-30,Oranges,2.34,8833
1973-12-31,Apples,1.9,4955
1973-12-31,Grapes,1.57,1073
1973-12-31,Oranges,1.97,12558
